underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,implied_underlying_price_1545,active_underlying_price_1545,implied_volatility_1545,delta_1545,gamma_1545,theta_1545,vega_1545,rho_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
^SPX,2017-10-23,SPXW,2018-03-29,1850.000,C,0.0000,0.0000,0.0000,0.0000,0,44,713.3000,45,715.0000,2565.8000,2566.3000,2551.5482,2566.0500,0.2454,0.9826,0.0001,-0.1173,0.7191,771.4111,1,711.6000,1,716.2000,2536.0900,2586.0200,0.0000,0,
^SPX,2017-10-23,SPXW,2018-03-29,1850.000,P,0.0000,0.0000,0.0000,0.0000,0,818,3.9000,930,4.2000,2565.8000,2566.3000,2551.5482,2566.0500,0.2616,-0.0233,0.0001,-0.0746,0.9210,-27.2881,50,4.1000,130,4.3000,2536.0900,2586.0200,0.0000,2245,
^SPX,2017-10-23,SPXW,2018-03-29,1875.000,C,0.0000,0.0000,0.0000,0.0000,0,44,688.9000,45,690.6000,2565.8000,2566.3000,2551.5482,2566.0500,0.2426,0.9798,0.0001,-0.1249,0.8179,778.7898,1,687.2000,1,691.8000,2536.0900,2586.0200,0.0000,146,
^SPX,2017-10-23,SPXW,2018-03-29,1875.000,P,4.0800,4.0800,4.0800,4.0800,2,805,4.3000,920,4.6000,2565.8000,2566.3000,2551.5482,2566.0500,0.2565,-0.0257,0.0001,-0.0795,1.0024,-30.1722,130,4.5000,60,4.7000,2536.0900,2586.0200,4.0800,857,
^SPX,2017-10-23,SPXW,2018-03-29,1900.000,C,673.5000,673.5000,673.5000,673.5000,12,44,664.5000,65,666.2000,2565.8000,2566.3000,2551.5482,2566.0500,0.2390,0.9769,0.0001,-0.1320,0.9162,786.0964,1,662.5000,1,667.7000,2536.0900,2586.0200,673.5000,19,
^SPX,2017-10-23,SPXW,2018-03-29,1900.000,P,4.6500,4.6500,4.6500,4.6500,4,95,4.8000,160,5.0000,2565.8000,2566.3000,2551.5482,2566.0500,0.2514,-0.0285,0.0002,-0.0848,1.0926,-33.4386,190,4.9000,170,5.2000,2536.0900,2586.0200,4.6500,8896,
^SPX,2017-10-23,SPXW,2018-03-29,1925.000,C,0.0000,0.0000,0.0000,0.0000,0,44,640.2000,45,641.8000,2565.8000,2566.3000,2551.5482,2566.0500,0.2353,0.9737,0.0002,-0.1394,1.0216,793.0561,1,638.2000,1,643.4000,2536.0900,2586.0200,0.0000,37,
^SPX,2017-10-23,SPXW,2018-03-29,1925.000,P,0.0000,0.0000,0.0000,0.0000,0,837,5.2000,160,5.5000,2565.8000,2566.3000,2551.5482,2566.0500,0.2460,-0.0314,0.0002,-0.0898,1.1839,-36.8186,170,5.4000,150,5.7000,2536.0900,2586.0200,0.0000,8542,
^SPX,2017-10-23,SPXW,2018-03-29,1950.000,C,0.0000,0.0000,0.0000,0.0000,0,44,615.9000,45,617.5000,2565.8000,2566.3000,2551.5482,2566.0500,0.2315,0.9701,0.0002,-0.1471,1.1361,799.5749,1,613.6000,1,619.4000,2536.0900,2586.0200,0.0000,32,
^SPX,2017-10-23,SPXW,2018-03-29,1950.000,P,5.9500,6.1000,5.9500,6.1000,10,725,5.8000,100,6.0000,2565.8000,2566.3000,2551.5482,2566.0500,0.2411,-0.0349,0.0002,-0.0957,1.2896,-40.8275,145,6.0000,200,6.3000,2536.0900,2586.0200,6.0250,3040,
